
Printing code table
   0 | p = 0     | k = -1    | code = 0 | lastUse = 0
   1 | p = 0     | k = -2    | code = 1 | lastUse = 0
   2 | p = 0     | k = -3    | code = 2 | lastUse = 0
   3 | p = 0     | k = -4    | code = 3 | lastUse = 15306
   4 | p = 0     | k = -5    | code = 4 | lastUse = 0
   5 | p = 0     | k = 0     | code = 5 | lastUse = 0
   6 | p = 0     | k = 1     | code = 6 | lastUse = 0
   7 | p = 0     | k = 2     | code = 7 | lastUse = 0
   8 | p = 0     | k = 3     | code = 8 | lastUse = 0
   9 | p = 0     | k = 4     | code = 9 | lastUse = 0
  10 | p = 0     | k = 5     | code = 10 | lastUse = 0
  11 | p = 0     | k = 6     | code = 11 | lastUse = 0
  12 | p = 0     | k = 7     | code = 12 | lastUse = 0
  13 | p = 0     | k = 8     | code = 13 | lastUse = 0
  14 | p = 0     | k = 9     | code = 14 | lastUse = 0
  15 | p = 0     | k = 10    | code = 15 | lastUse = 0
  16 | p = 0     | k = 11    | code = 16 | lastUse = 0
  17 | p = 0     | k = 12    | code = 17 | lastUse = 0
  18 | p = 0     | k = 13    | code = 18 | lastUse = 0
  19 | p = 0     | k = 14    | code = 19 | lastUse = 0
  20 | p = 0     | k = 15    | code = 20 | lastUse = 0
  21 | p = 0     | k = 16    | code = 21 | lastUse = 0
  22 | p = 0     | k = 17    | code = 22 | lastUse = 0
  23 | p = 0     | k = 18    | code = 23 | lastUse = 0
  24 | p = 0     | k = 19    | code = 24 | lastUse = 0
  25 | p = 0     | k = 20    | code = 25 | lastUse = 0
  26 | p = 0     | k = 21    | code = 26 | lastUse = 0
  27 | p = 0     | k = 22    | code = 27 | lastUse = 0
  28 | p = 0     | k = 23    | code = 28 | lastUse = 0
  29 | p = 0     | k = 24    | code = 29 | lastUse = 0
  30 | p = 0     | k = 25    | code = 30 | lastUse = 0
  31 | p = 0     | k = 26    | code = 31 | lastUse = 0
  32 | p = 0     | k = 27    | code = 32 | lastUse = 0
  33 | p = 0     | k = 28    | code = 33 | lastUse = 0
  34 | p = 0     | k = 29    | code = 34 | lastUse = 0
  35 | p = 0     | k = 30    | code = 35 | lastUse = 0
  36 | p = 0     | k = 31    | code = 36 | lastUse = 0
  37 | p = 0     | k = 32    | code = 37 | lastUse = 0
  38 | p = 0     | k = 33    | code = 38 | lastUse = 0
  39 | p = 0     | k = 34    | code = 39 | lastUse = 0
  40 | p = 0     | k = 35    | code = 40 | lastUse = 0
  41 | p = 0     | k = 36    | code = 41 | lastUse = 0
  42 | p = 0     | k = 37    | code = 42 | lastUse = 0
  43 | p = 0     | k = 38    | code = 43 | lastUse = 0
  44 | p = 0     | k = 39    | code = 44 | lastUse = 0
  45 | p = 0     | k = 40    | code = 45 | lastUse = 0
  46 | p = 0     | k = 41    | code = 46 | lastUse = 0
  47 | p = 0     | k = 42    | code = 47 | lastUse = 0
  48 | p = 0     | k = 43    | code = 48 | lastUse = 0
  49 | p = 0     | k = 44    | code = 49 | lastUse = 0
  50 | p = 0     | k = 45    | code = 50 | lastUse = 0
  51 | p = 0     | k = 46    | code = 51 | lastUse = 0
  52 | p = 0     | k = 47    | code = 52 | lastUse = 0
  53 | p = 0     | k = 48    | code = 53 | lastUse = 0
  54 | p = 0     | k = 49    | code = 54 | lastUse = 0
  55 | p = 0     | k = 50    | code = 55 | lastUse = 0
  56 | p = 0     | k = 51    | code = 56 | lastUse = 0
  57 | p = 0     | k = 52    | code = 57 | lastUse = 0
  58 | p = 0     | k = 53    | code = 58 | lastUse = 0
  59 | p = 0     | k = 54    | code = 59 | lastUse = 0
  60 | p = 0     | k = 55    | code = 60 | lastUse = 0
  61 | p = 0     | k = 56    | code = 61 | lastUse = 0
  62 | p = 0     | k = 57    | code = 62 | lastUse = 0
  63 | p = 0     | k = 58    | code = 63 | lastUse = 0
  64 | p = 0     | k = 59    | code = 64 | lastUse = 0
  65 | p = 0     | k = 60    | code = 65 | lastUse = 0
  66 | p = 0     | k = 61    | code = 66 | lastUse = 0
  67 | p = 0     | k = 62    | code = 67 | lastUse = 0
  68 | p = 0     | k = 63    | code = 68 | lastUse = 0
  69 | p = 0     | k = 64    | code = 69 | lastUse = 0
  70 | p = 0     | k = 65    | code = 70 | lastUse = 0
  71 | p = 0     | k = 66    | code = 71 | lastUse = 0
  72 | p = 0     | k = 67    | code = 72 | lastUse = 0
  73 | p = 0     | k = 68    | code = 73 | lastUse = 0
  74 | p = 0     | k = 69    | code = 74 | lastUse = 0
  75 | p = 0     | k = 70    | code = 75 | lastUse = 0
  76 | p = 0     | k = 71    | code = 76 | lastUse = 0
  77 | p = 0     | k = 72    | code = 77 | lastUse = 0
  78 | p = 0     | k = 73    | code = 78 | lastUse = 0
  79 | p = 0     | k = 74    | code = 79 | lastUse = 0
  80 | p = 0     | k = 75    | code = 80 | lastUse = 0
  81 | p = 0     | k = 76    | code = 81 | lastUse = 0
  82 | p = 0     | k = 77    | code = 82 | lastUse = 0
  83 | p = 0     | k = 78    | code = 83 | lastUse = 0
  84 | p = 0     | k = 79    | code = 84 | lastUse = 0
  85 | p = 0     | k = 80    | code = 85 | lastUse = 0
  86 | p = 0     | k = 81    | code = 86 | lastUse = 0
  87 | p = 0     | k = 82    | code = 87 | lastUse = 0
  88 | p = 0     | k = 83    | code = 88 | lastUse = 0
  89 | p = 0     | k = 84    | code = 89 | lastUse = 0
  90 | p = 0     | k = 85    | code = 90 | lastUse = 0
  91 | p = 0     | k = 86    | code = 91 | lastUse = 0
  92 | p = 0     | k = 87    | code = 92 | lastUse = 0
  93 | p = 0     | k = 88    | code = 93 | lastUse = 0
  94 | p = 0     | k = 89    | code = 94 | lastUse = 0
  95 | p = 0     | k = 90    | code = 95 | lastUse = 0
  96 | p = 0     | k = 91    | code = 96 | lastUse = 0
  97 | p = 0     | k = 92    | code = 97 | lastUse = 0
  98 | p = 0     | k = 93    | code = 98 | lastUse = 0
  99 | p = 0     | k = 94    | code = 99 | lastUse = 0
 100 | p = 0     | k = 95    | code = 100 | lastUse = 0
 101 | p = 0     | k = 96    | code = 101 | lastUse = 0
 102 | p = 0     | k = 97    | code = 102 | lastUse = 0
 103 | p = 0     | k = 98    | code = 103 | lastUse = 0
 104 | p = 0     | k = 99    | code = 104 | lastUse = 0
 105 | p = 0     | k = 100   | code = 105 | lastUse = 0
 106 | p = 0     | k = 101   | code = 106 | lastUse = 0
 107 | p = 0     | k = 102   | code = 107 | lastUse = 0
 108 | p = 0     | k = 103   | code = 108 | lastUse = 0
 109 | p = 0     | k = 104   | code = 109 | lastUse = 0
 110 | p = 0     | k = 105   | code = 110 | lastUse = 0
 111 | p = 0     | k = 106   | code = 111 | lastUse = 0
 112 | p = 0     | k = 107   | code = 112 | lastUse = 0
 113 | p = 0     | k = 108   | code = 113 | lastUse = 0
 114 | p = 0     | k = 109   | code = 114 | lastUse = 0
 115 | p = 0     | k = 110   | code = 115 | lastUse = 0
 116 | p = 0     | k = 111   | code = 116 | lastUse = 0
 117 | p = 0     | k = 112   | code = 117 | lastUse = 0
 118 | p = 0     | k = 113   | code = 118 | lastUse = 0
 119 | p = 0     | k = 114   | code = 119 | lastUse = 0
 120 | p = 0     | k = 115   | code = 120 | lastUse = 0
 121 | p = 0     | k = 116   | code = 121 | lastUse = 0
 122 | p = 0     | k = 117   | code = 122 | lastUse = 0
